,related_same_day_brand,value
1106,Walmart,401526.0
674,McDonald's,238500.0
211,Chevron,177798.0
669,Maverik,164328.0
4,7-Eleven,89298.0
926,Sinclair Oil,88854.0
213,Chick-fil-A,88680.0
941,Smith's Food & Drug Stores,78132.0
1018,Target,75948.0
1118,Wendy's,72420.0
