,region,value,device_type
31825,UT,48.0,android
31826,UT,22.0,ios
31879,UT,64.0,android
31880,UT,49.0,ios
31881,UT,51.0,android
31882,UT,44.0,ios
31883,UT,49.0,android
31884,UT,43.0,ios
31906,UT,32.0,android
31907,UT,21.0,ios
31908,UT,22.0,android
31909,UT,27.0,ios
31910,UT,23.0,android
31911,UT,27.0,ios
32089,UT,26.0,android
32090,UT,48.0,ios
32091,UT,28.0,android
32092,UT,37.0,ios
32093,UT,16.0,android
32094,UT,31.0,ios
32216,UT,,
32235,UT,51.0,android
32236,UT,38.0,ios
32237,UT,63.0,android
32238,UT,45.0,ios
32239,UT,63.0,android
32240,UT,51.0,ios
32271,UT,24.0,android
32272,UT,30.0,ios
32273,UT,28.0,android
32274,UT,44.0,ios
32275,UT,315.0,android
32276,UT,469.0,ios
32319,UT,6.0,android
32320,UT,5.0,ios
32321,UT,12.0,android
32322,UT,4.0,ios
32323,UT,11.0,android
32324,UT,8.0,ios
32466,UT,32.0,android
32467,UT,24.0,ios
32468,UT,35.0,android
32469,UT,19.0,ios
32470,UT,26.0,android
32471,UT,18.0,ios
32721,UT,31.0,android
32722,UT,16.0,ios
32723,UT,34.0,android
32724,UT,26.0,ios
32725,UT,29.0,android
32726,UT,29.0,ios
32823,UT,4.0,android
32824,UT,0.0,ios
32825,UT,0.0,android
32826,UT,5.0,ios
32827,UT,0.0,android
32828,UT,0.0,ios
32937,UT,74.0,android
32938,UT,33.0,ios
32939,UT,77.0,android
32940,UT,45.0,ios
32941,UT,74.0,android
32942,UT,39.0,ios
33042,UT,15.0,android
33043,UT,4.0,ios
33044,UT,32.0,android
33045,UT,8.0,ios
33046,UT,29.0,android
33047,UT,20.0,ios
33264,UT,17.0,android
33265,UT,15.0,ios
33266,UT,11.0,android
33267,UT,6.0,ios
33268,UT,8.0,android
33269,UT,7.0,ios
33414,UT,4.0,android
33415,UT,0.0,ios
33416,UT,5.0,android
33417,UT,6.0,ios
33418,UT,4.0,android
33419,UT,4.0,ios
33420,UT,33.0,android
33421,UT,15.0,ios
33422,UT,29.0,android
33423,UT,18.0,ios
33424,UT,38.0,android
33425,UT,21.0,ios
33438,UT,8.0,android
33439,UT,4.0,ios
33440,UT,8.0,android
33441,UT,6.0,ios
33442,UT,20.0,android
33443,UT,10.0,ios
33469,UT,26.0,android
33470,UT,26.0,ios
33471,UT,21.0,android
33472,UT,28.0,ios
33473,UT,25.0,android
33474,UT,29.0,ios
33617,UT,32.0,android
33618,UT,29.0,ios
33619,UT,30.0,android
33620,UT,24.0,ios
33621,UT,30.0,android
33622,UT,29.0,ios
33731,UT,31.0,android
33732,UT,24.0,ios
33733,UT,35.0,android
33734,UT,29.0,ios
33735,UT,45.0,android
33736,UT,27.0,ios
34013,UT,5.0,android
34014,UT,7.0,ios
34015,UT,4.0,android
34016,UT,4.0,ios
34017,UT,7.0,android
34018,UT,4.0,ios
34131,UT,60.0,android
34132,UT,20.0,ios
34133,UT,52.0,android
34134,UT,24.0,ios
34135,UT,54.0,android
34136,UT,36.0,ios
34163,GA,16.0,android
34164,GA,17.0,ios
34165,GA,4.0,android
34166,GA,15.0,ios
34167,GA,6.0,android
34168,GA,8.0,ios
34217,UT,29.0,android
34218,UT,31.0,ios
34219,UT,30.0,android
34220,UT,34.0,ios
34221,UT,27.0,android
34222,UT,50.0,ios
34242,UT,,
34255,GA,10.0,android
34256,GA,14.0,ios
34257,GA,16.0,android
34258,GA,19.0,ios
34259,GA,16.0,android
34260,GA,21.0,ios
34295,UT,14.0,android
34296,UT,20.0,ios
34297,UT,14.0,android
34298,UT,19.0,ios
34299,UT,11.0,android
34300,UT,15.0,ios
34313,UT,12.0,android
34314,UT,9.0,ios
34315,UT,5.0,android
34316,UT,8.0,ios
34317,UT,10.0,android
34318,UT,11.0,ios
34337,UT,,
34344,UT,104.0,android
34345,UT,117.0,ios
34346,UT,116.0,android
34347,UT,103.0,ios
34348,UT,118.0,android
34349,UT,79.0,ios
34366,UT,62.0,android
34367,UT,22.0,ios
34368,UT,71.0,android
34369,UT,23.0,ios
34370,UT,68.0,android
34371,UT,22.0,ios
34524,UT,28.0,android
34525,UT,51.0,ios
34526,UT,24.0,android
34527,UT,38.0,ios
34528,UT,15.0,android
34529,UT,43.0,ios
34616,UT,23.0,android
34617,UT,23.0,ios
34618,UT,12.0,android
34619,UT,13.0,ios
34620,UT,27.0,android
34621,UT,16.0,ios
34622,UT,4.0,android
34623,UT,4.0,ios
34624,UT,4.0,android
34625,UT,0.0,ios
34626,UT,0.0,android
34627,UT,4.0,ios
34769,UT,0.0,android
34770,UT,0.0,ios
35046,UT,40.0,android
35047,UT,32.0,ios
35048,UT,57.0,android
35049,UT,33.0,ios
35050,UT,39.0,android
35051,UT,23.0,ios
35076,UT,45.0,android
35077,UT,33.0,ios
35078,UT,48.0,android
35079,UT,27.0,ios
35080,UT,27.0,android
35081,UT,18.0,ios
35094,UT,9.0,android
35095,UT,9.0,ios
35096,UT,10.0,android
35097,UT,9.0,ios
35098,UT,10.0,android
35099,UT,4.0,ios
35133,UT,14.0,android
35134,UT,24.0,ios
35135,UT,20.0,android
35136,UT,25.0,ios
35137,UT,8.0,android
35138,UT,28.0,ios
35157,UT,11.0,android
35158,UT,13.0,ios
35159,UT,16.0,android
35160,UT,9.0,ios
35161,UT,21.0,android
35162,UT,9.0,ios
35175,UT,24.0,android
35176,UT,10.0,ios
35177,UT,21.0,android
35178,UT,12.0,ios
35179,UT,22.0,android
35180,UT,13.0,ios
35187,UT,35.0,android
35188,UT,24.0,ios
35189,UT,34.0,android
35190,UT,30.0,ios
35191,UT,32.0,android
35192,UT,28.0,ios
35193,GA,9.0,android
35194,GA,11.0,ios
35195,GA,15.0,android
35196,GA,8.0,ios
35197,GA,13.0,android
35198,GA,10.0,ios
35306,UT,84.0,android
35307,UT,69.0,ios
35308,UT,129.0,android
35309,UT,136.0,ios
35310,UT,117.0,android
35311,UT,101.0,ios
35370,UT,34.0,android
35371,UT,25.0,ios
35372,UT,50.0,android
35373,UT,24.0,ios
35374,UT,52.0,android
35375,UT,22.0,ios
35412,UT,,
35521,UT,27.0,android
35522,UT,22.0,ios
35523,UT,21.0,android
35524,UT,24.0,ios
35525,UT,24.0,android
35526,UT,14.0,ios
35629,UT,14.0,android
35630,UT,18.0,ios
35631,UT,8.0,android
35632,UT,18.0,ios
35633,UT,11.0,android
35634,UT,24.0,ios
35641,UT,0.0,android
35642,UT,0.0,ios
35643,UT,4.0,android
35644,UT,0.0,ios
35645,UT,0.0,android
35646,UT,0.0,ios
35702,UT,48.0,android
35703,UT,28.0,ios
35704,UT,68.0,android
35705,UT,47.0,ios
35706,UT,51.0,android
35707,UT,25.0,ios
35806,UT,29.0,android
35807,UT,11.0,ios
35808,UT,29.0,android
35809,UT,15.0,ios
35810,UT,32.0,android
35811,UT,19.0,ios
35991,UT,13.0,android
35992,UT,17.0,ios
35993,UT,17.0,android
35994,UT,19.0,ios
35995,UT,24.0,android
35996,UT,18.0,ios
36010,UT,,
36120,UT,19.0,android
36121,UT,30.0,ios
36122,UT,19.0,android
36123,UT,32.0,ios
36124,UT,24.0,android
36125,UT,37.0,ios
36265,UT,7.0,android
36266,UT,10.0,ios
36267,UT,7.0,android
36268,UT,4.0,ios
36269,UT,10.0,android
36270,UT,0.0,ios
36484,UT,53.0,android
36485,UT,15.0,ios
36486,UT,49.0,android
36487,UT,20.0,ios
36488,UT,12.0,android
36489,UT,27.0,ios
36497,UT,19.0,android
36498,UT,29.0,ios
36499,UT,15.0,android
36500,UT,26.0,ios
36501,UT,13.0,android
36502,UT,33.0,ios
36582,UT,56.0,android
36583,UT,30.0,ios
36584,UT,51.0,android
36585,UT,29.0,ios
36586,UT,38.0,android
36587,UT,34.0,ios
36618,UT,13.0,android
36619,UT,16.0,ios
36620,UT,29.0,android
36621,UT,21.0,ios
36622,UT,26.0,android
36623,UT,23.0,ios
36673,UT,11.0,android
36674,UT,13.0,ios
36675,UT,11.0,android
36676,UT,8.0,ios
36677,UT,25.0,android
36678,UT,9.0,ios
36912,UT,25.0,android
36913,UT,23.0,ios
36914,UT,24.0,android
36915,UT,22.0,ios
36916,UT,60.0,android
36917,UT,42.0,ios
36918,UT,7.0,android
36919,UT,4.0,ios
36920,UT,7.0,android
36921,UT,11.0,ios
36922,UT,5.0,android
36923,UT,0.0,ios
36983,UT,20.0,android
36984,UT,18.0,ios
36985,UT,17.0,android
36986,UT,11.0,ios
36987,UT,11.0,android
36988,UT,10.0,ios
37157,UT,76.0,android
37158,UT,37.0,ios
37159,UT,79.0,android
37160,UT,30.0,ios
37233,UT,22.0,android
37234,UT,19.0,ios
37235,UT,24.0,android
37236,UT,36.0,ios
37237,UT,16.0,android
37238,UT,31.0,ios
37263,UT,51.0,android
37264,UT,34.0,ios
37265,UT,40.0,android
37266,UT,31.0,ios
37267,UT,38.0,android
37268,UT,34.0,ios
37434,UT,5.0,android
37435,UT,0.0,ios
37436,UT,7.0,android
37437,UT,0.0,ios
37438,UT,6.0,android
37439,UT,4.0,ios
37470,UT,4.0,android
37471,UT,4.0,ios
37472,UT,4.0,android
37473,UT,0.0,ios
37474,UT,7.0,android
37475,UT,0.0,ios
37506,UT,53.0,android
37507,UT,16.0,ios
37508,UT,35.0,android
37509,UT,17.0,ios
37510,UT,47.0,android
37511,UT,9.0,ios
37554,UT,,
37790,UT,13.0,android
37791,UT,11.0,ios
37792,UT,12.0,android
37793,UT,7.0,ios
37794,UT,7.0,android
37795,UT,4.0,ios
37802,UT,38.0,android
37803,UT,18.0,ios
37804,UT,27.0,android
37805,UT,15.0,ios
37806,UT,40.0,android
37807,UT,24.0,ios
37814,UT,29.0,android
37815,UT,27.0,ios
37816,UT,29.0,android
37817,UT,21.0,ios
37818,UT,29.0,android
37819,UT,33.0,ios
37832,UT,21.0,android
37833,UT,29.0,ios
37834,UT,26.0,android
37835,UT,25.0,ios
37836,UT,24.0,android
37837,UT,26.0,ios
37881,UT,32.0,android
37882,UT,27.0,ios
37883,UT,40.0,android
37884,UT,32.0,ios
37885,UT,46.0,android
37886,UT,32.0,ios
37968,UT,66.0,android
37969,UT,36.0,ios
37970,UT,76.0,android
37971,UT,34.0,ios
37972,UT,81.0,android
37973,UT,45.0,ios
38110,UT,43.0,android
38111,UT,30.0,ios
38112,UT,31.0,android
38113,UT,34.0,ios
38114,UT,42.0,android
38115,UT,37.0,ios
38152,UT,0.0,android
38153,UT,0.0,ios
38534,UT,30.0,android
38535,UT,31.0,ios
38536,UT,104.0,android
38537,UT,48.0,ios
38538,UT,76.0,android
38539,UT,38.0,ios
38587,UT,10.0,android
38588,UT,23.0,ios
38589,UT,19.0,android
38590,UT,26.0,ios
38591,UT,13.0,android
38592,UT,24.0,ios
38628,UT,31.0,android
38629,UT,35.0,ios
38630,UT,24.0,android
38631,UT,20.0,ios
38632,UT,80.0,android
38633,UT,56.0,ios
38772,UT,72.0,android
38773,UT,55.0,ios
38774,UT,59.0,android
38775,UT,46.0,ios
38776,UT,55.0,android
38777,UT,40.0,ios
38889,UT,30.0,android
38890,UT,32.0,ios
38891,UT,43.0,android
38892,UT,31.0,ios
38893,UT,25.0,android
38894,UT,31.0,ios
38901,UT,4.0,android
38902,UT,5.0,ios
38903,UT,4.0,android
38904,UT,5.0,ios
38905,UT,4.0,android
38906,UT,9.0,ios
38937,UT,26.0,android
38938,UT,17.0,ios
38939,UT,20.0,android
38940,UT,17.0,ios
38941,UT,17.0,android
38942,UT,15.0,ios
39023,UT,20.0,android
39024,UT,32.0,ios
39025,UT,21.0,android
39026,UT,39.0,ios
39027,UT,27.0,android
39028,UT,35.0,ios
39077,UT,18.0,android
39078,UT,16.0,ios
39079,UT,15.0,android
39080,UT,13.0,ios
39081,UT,13.0,android
39082,UT,11.0,ios
39199,UT,18.0,android
39200,UT,11.0,ios
39201,UT,8.0,android
39202,UT,19.0,ios
39203,UT,15.0,android
39204,UT,4.0,ios
39211,UT,48.0,android
39212,UT,33.0,ios
39213,UT,52.0,android
39214,UT,36.0,ios
39215,UT,47.0,android
39216,UT,52.0,ios
39301,UT,40.0,android
39302,UT,37.0,ios
39303,UT,27.0,android
39304,UT,28.0,ios
39305,UT,34.0,android
39306,UT,34.0,ios
39349,GA,17.0,android
39350,GA,14.0,ios
39351,GA,21.0,android
39352,GA,16.0,ios
39353,GA,8.0,android
39354,GA,21.0,ios
39361,UT,8.0,android
39362,UT,8.0,ios
39363,UT,5.0,android
39364,UT,6.0,ios
39365,UT,5.0,android
39366,UT,5.0,ios
39367,UT,14.0,android
39368,UT,9.0,ios
39369,UT,19.0,android
39370,UT,6.0,ios
39371,UT,12.0,android
39372,UT,11.0,ios
39600,GA,12.0,android
39601,GA,13.0,ios
39602,GA,6.0,android
39603,GA,21.0,ios
39604,GA,8.0,android
39605,GA,19.0,ios
39702,UT,11.0,android
39703,UT,32.0,ios
39704,UT,9.0,android
39705,UT,20.0,ios
39706,UT,6.0,android
39707,UT,22.0,ios
39814,UT,29.0,android
39815,UT,9.0,ios
39816,UT,25.0,android
39817,UT,7.0,ios
39818,UT,27.0,android
39819,UT,10.0,ios
39850,UT,32.0,android
39851,UT,10.0,ios
39852,UT,39.0,android
39853,UT,19.0,ios
39854,UT,24.0,android
39855,UT,17.0,ios
39862,GA,4.0,android
39863,GA,4.0,ios
39864,GA,8.0,android
39865,GA,6.0,ios
39866,GA,5.0,android
39867,GA,17.0,ios
39918,UT,36.0,android
39919,UT,21.0,ios
39920,UT,29.0,android
39921,UT,15.0,ios
39922,UT,14.0,android
39923,UT,18.0,ios
40016,UT,41.0,android
40017,UT,76.0,ios
40018,UT,46.0,android
40019,UT,76.0,ios
40020,UT,49.0,android
40021,UT,76.0,ios
40088,UT,36.0,android
40089,UT,35.0,ios
40090,UT,26.0,android
40091,UT,32.0,ios
40092,UT,32.0,android
40093,UT,36.0,ios
40100,UT,17.0,android
40101,UT,5.0,ios
40102,UT,19.0,android
40103,UT,10.0,ios
40104,UT,17.0,android
40105,UT,10.0,ios
40324,UT,65.0,android
40325,UT,46.0,ios
40326,UT,64.0,android
40327,UT,55.0,ios
40328,UT,57.0,android
40329,UT,43.0,ios
40348,UT,16.0,android
40349,UT,22.0,ios
40350,UT,5.0,android
40351,UT,13.0,ios
40352,UT,14.0,android
40353,UT,12.0,ios
40360,UT,48.0,android
40361,UT,41.0,ios
40362,UT,39.0,android
40363,UT,36.0,ios
40364,UT,39.0,android
40365,UT,51.0,ios
40445,UT,16.0,android
40446,UT,19.0,ios
40447,UT,22.0,android
40448,UT,20.0,ios
40449,UT,17.0,android
40450,UT,22.0,ios
40451,UT,12.0,android
40452,UT,17.0,ios
40453,UT,18.0,android
40454,UT,18.0,ios
40455,UT,23.0,android
40456,UT,24.0,ios
40487,UT,4.0,android
40488,UT,0.0,ios
40537,GA,12.0,android
40538,GA,29.0,ios
40539,GA,4.0,android
40540,GA,27.0,ios
40541,GA,5.0,android
40542,GA,21.0,ios
40572,UT,12.0,android
40573,UT,14.0,ios
40574,UT,27.0,android
40575,UT,12.0,ios
40576,UT,22.0,android
40577,UT,14.0,ios
40738,UT,24.0,android
40739,UT,20.0,ios
40740,UT,18.0,android
40741,UT,16.0,ios
40742,UT,13.0,android
40743,UT,16.0,ios
40756,UT,11.0,android
40757,UT,4.0,ios
40758,UT,14.0,android
40759,UT,10.0,ios
40760,UT,8.0,android
40761,UT,4.0,ios
40774,UT,61.0,android
40775,UT,65.0,ios
40776,UT,86.0,android
40777,UT,76.0,ios
40778,UT,74.0,android
40779,UT,75.0,ios
40889,UT,4.0,android
40890,UT,4.0,ios
40891,UT,0.0,android
40892,UT,4.0,ios
40893,UT,0.0,android
40894,UT,0.0,ios
40967,UT,27.0,android
40968,UT,34.0,ios
40969,UT,25.0,android
40970,UT,47.0,ios
40971,UT,29.0,android
40972,UT,52.0,ios
41061,UT,11.0,android
41062,UT,6.0,ios
41063,UT,10.0,android
41064,UT,9.0,ios
41065,UT,21.0,android
41066,UT,12.0,ios
41067,UT,26.0,android
41068,UT,15.0,ios
41069,UT,31.0,android
41070,UT,27.0,ios
41071,UT,38.0,android
41072,UT,42.0,ios
41073,UT,99.0,android
41074,UT,98.0,ios
41075,UT,145.0,android
41076,UT,168.0,ios
41077,UT,166.0,android
41078,UT,164.0,ios
41128,GA,0.0,android
41129,GA,7.0,ios
41130,GA,4.0,android
41131,GA,0.0,ios
41132,GA,0.0,android
41133,GA,5.0,ios
41166,UT,7.0,android
41167,UT,15.0,ios
41168,UT,0.0,android
41169,UT,10.0,ios
41170,UT,10.0,android
41171,UT,16.0,ios
41191,UT,29.0,android
41192,UT,30.0,ios
41193,UT,25.0,android
41194,UT,33.0,ios
41195,UT,37.0,android
41196,UT,37.0,ios
41245,UT,,
41444,GA,10.0,android
41445,GA,13.0,ios
41446,GA,14.0,android
41447,GA,13.0,ios
41448,GA,14.0,android
41449,GA,20.0,ios
41575,UT,18.0,android
41576,UT,8.0,ios
41577,UT,22.0,android
41578,UT,4.0,ios
41579,UT,16.0,android
41580,UT,4.0,ios
41622,UT,32.0,android
41623,UT,24.0,ios
41624,UT,26.0,android
41625,UT,23.0,ios
41626,UT,31.0,android
41627,UT,27.0,ios
41725,UT,36.0,android
41726,UT,18.0,ios
41727,UT,21.0,android
41728,UT,22.0,ios
41729,UT,17.0,android
41730,UT,22.0,ios
41743,UT,17.0,android
41744,UT,23.0,ios
41745,UT,23.0,android
41746,UT,34.0,ios
41747,UT,26.0,android
41748,UT,30.0,ios
41771,UT,4.0,android
41772,UT,13.0,ios
41773,UT,10.0,android
41774,UT,8.0,ios
41775,UT,4.0,android
41776,UT,10.0,ios
41789,UT,59.0,android
41790,UT,61.0,ios
41791,UT,58.0,android
41792,UT,64.0,ios
41793,UT,47.0,android
41794,UT,35.0,ios
41911,UT,21.0,android
41912,UT,6.0,ios
41913,UT,24.0,android
41914,UT,12.0,ios
41915,UT,41.0,android
41916,UT,21.0,ios
42060,UT,42.0,android
42061,UT,33.0,ios
42062,UT,50.0,android
42063,UT,32.0,ios
42064,UT,84.0,android
42065,UT,50.0,ios
42162,UT,11.0,android
42163,UT,6.0,ios
42164,UT,7.0,android
42165,UT,7.0,ios
42166,UT,7.0,android
42167,UT,5.0,ios
42240,UT,30.0,android
42241,UT,23.0,ios
42242,UT,40.0,android
42243,UT,35.0,ios
42244,UT,25.0,android
42245,UT,26.0,ios
42277,UT,4.0,android
42278,UT,0.0,ios
42279,UT,0.0,android
42280,UT,4.0,ios
42281,UT,0.0,android
42282,UT,0.0,ios
42355,UT,32.0,android
42356,UT,23.0,ios
42357,UT,34.0,android
42358,UT,28.0,ios
42359,UT,40.0,android
42360,UT,33.0,ios
42406,UT,34.0,android
42407,UT,30.0,ios
42408,UT,33.0,android
42409,UT,42.0,ios
42410,UT,38.0,android
42411,UT,40.0,ios
42479,UT,40.0,android
42480,UT,24.0,ios
42481,UT,50.0,android
42482,UT,37.0,ios
42483,UT,4.0,android
42484,UT,9.0,ios
42485,UT,24.0,android
42486,UT,17.0,ios
42487,UT,23.0,android
42488,UT,22.0,ios
42489,UT,24.0,android
42490,UT,9.0,ios
42593,UT,38.0,android
42594,UT,26.0,ios
42595,UT,45.0,android
42596,UT,37.0,ios
42597,UT,18.0,android
42598,UT,28.0,ios
42605,UT,25.0,android
42606,UT,19.0,ios
42607,UT,21.0,android
42608,UT,19.0,ios
42609,UT,22.0,android
42610,UT,27.0,ios
42767,UT,76.0,android
42768,UT,34.0,ios
42769,UT,76.0,android
42770,UT,37.0,ios
42771,UT,57.0,android
42772,UT,25.0,ios
42852,UT,,
42859,UT,0.0,android
42860,UT,0.0,ios
42861,UT,4.0,android
42862,UT,0.0,ios
42863,UT,4.0,android
42864,UT,4.0,ios
42925,UT,11.0,android
42926,UT,13.0,ios
42927,UT,15.0,android
42928,UT,8.0,ios
42929,UT,14.0,android
42930,UT,11.0,ios
42991,UT,9.0,android
42992,UT,29.0,ios
42993,UT,6.0,android
42994,UT,4.0,ios
42995,UT,6.0,android
42996,UT,0.0,ios
43285,UT,33.0,android
43286,UT,14.0,ios
43287,UT,36.0,android
43288,UT,18.0,ios
43289,UT,27.0,android
43290,UT,21.0,ios
43307,UT,4.0,android
43308,UT,7.0,ios
43309,UT,0.0,android
43310,UT,4.0,ios
43311,UT,6.0,android
43312,UT,4.0,ios
43331,UT,11.0,android
43332,UT,10.0,ios
43333,UT,14.0,android
43334,UT,7.0,ios
43335,UT,15.0,android
43336,UT,5.0,ios
43397,UT,18.0,android
43398,UT,7.0,ios
43399,UT,14.0,android
43400,UT,7.0,ios
43401,UT,14.0,android
43402,UT,6.0,ios
43433,UT,48.0,android
43434,UT,45.0,ios
43435,UT,58.0,android
43436,UT,40.0,ios
43437,UT,85.0,android
43438,UT,54.0,ios
43493,UT,9.0,android
43494,UT,9.0,ios
43495,UT,4.0,android
43496,UT,8.0,ios
43497,UT,10.0,android
43498,UT,8.0,ios
43505,UT,7.0,android
43506,UT,15.0,ios
43507,UT,13.0,android
43508,UT,8.0,ios
43509,UT,16.0,android
43510,UT,8.0,ios
43672,UT,26.0,android
43673,UT,17.0,ios
43674,UT,14.0,android
43675,UT,24.0,ios
43676,UT,25.0,android
43677,UT,22.0,ios
43703,UT,10.0,android
43704,UT,20.0,ios
43705,UT,7.0,android
43706,UT,15.0,ios
43707,UT,13.0,android
43708,UT,15.0,ios
43783,UT,22.0,android
43784,UT,8.0,ios
43785,UT,30.0,android
43786,UT,11.0,ios
43787,UT,21.0,android
43788,UT,18.0,ios
43789,UT,6.0,android
43790,UT,0.0,ios
43791,UT,13.0,android
43792,UT,9.0,ios
43793,UT,0.0,android
43794,UT,4.0,ios
43827,UT,10.0,android
43828,UT,4.0,ios
43829,UT,13.0,android
43830,UT,6.0,ios
43831,UT,13.0,android
43832,UT,0.0,ios
43863,UT,12.0,android
43864,UT,28.0,ios
43865,UT,21.0,android
43866,UT,20.0,ios
43867,UT,18.0,android
43868,UT,26.0,ios
43945,UT,0.0,android
43946,UT,0.0,ios
43947,UT,0.0,android
43948,UT,0.0,ios
43949,UT,5.0,android
43950,UT,0.0,ios
44111,UT,19.0,android
44112,UT,25.0,ios
44113,UT,10.0,android
44114,UT,16.0,ios
44115,UT,7.0,android
44116,UT,10.0,ios
44295,UT,32.0,android
44296,UT,31.0,ios
44297,UT,35.0,android
44298,UT,50.0,ios
44299,UT,44.0,android
44300,UT,38.0,ios
44540,UT,51.0,android
44541,UT,40.0,ios
44542,UT,45.0,android
44543,UT,30.0,ios
44544,UT,46.0,android
44545,UT,33.0,ios
44620,UT,,
44652,UT,16.0,android
44653,UT,24.0,ios
44654,UT,24.0,android
44655,UT,18.0,ios
44656,UT,23.0,android
44657,UT,25.0,ios
44710,UT,5.0,android
44711,UT,16.0,ios
44712,UT,5.0,android
44713,UT,15.0,ios
44714,UT,10.0,android
44715,UT,10.0,ios
44792,UT,35.0,android
44793,UT,30.0,ios
44794,UT,42.0,android
44795,UT,33.0,ios
44796,UT,28.0,android
44797,UT,21.0,ios
44810,UT,21.0,android
44811,UT,13.0,ios
44812,UT,25.0,android
44813,UT,18.0,ios
44814,UT,25.0,android
44815,UT,14.0,ios
44867,UT,4.0,android
44868,UT,0.0,ios
44869,UT,11.0,android
44870,UT,7.0,ios
44871,UT,10.0,android
44872,UT,7.0,ios
44891,UT,9.0,android
44892,UT,14.0,ios
44893,UT,18.0,android
44894,UT,15.0,ios
44895,UT,14.0,android
44896,UT,16.0,ios
44937,UT,50.0,android
44938,UT,34.0,ios
44939,UT,45.0,android
44940,UT,37.0,ios
44941,UT,52.0,android
44942,UT,29.0,ios
44949,UT,4.0,android
44950,UT,4.0,ios
44951,UT,0.0,android
44952,UT,6.0,ios
44953,UT,0.0,android
44954,UT,4.0,ios
45049,UT,17.0,android
45050,UT,12.0,ios
45051,UT,11.0,android
45052,UT,13.0,ios
45053,UT,8.0,android
45054,UT,7.0,ios
45073,UT,38.0,android
45074,UT,19.0,ios
45075,UT,46.0,android
45076,UT,22.0,ios
45077,UT,143.0,android
45078,UT,43.0,ios
45147,UT,16.0,android
45148,UT,11.0,ios
45149,UT,13.0,android
45150,UT,13.0,ios
45151,UT,17.0,android
45152,UT,4.0,ios
45292,UT,34.0,android
45293,UT,41.0,ios
45294,UT,33.0,android
45295,UT,40.0,ios
45296,UT,42.0,android
45297,UT,39.0,ios
45304,UT,55.0,android
45305,UT,44.0,ios
45306,UT,63.0,android
45307,UT,35.0,ios
45308,UT,57.0,android
45309,UT,48.0,ios
45353,GA,75.0,android
45354,GA,108.0,ios
45355,GA,72.0,android
45356,GA,94.0,ios
45357,GA,42.0,android
45358,GA,65.0,ios
45424,UT,4.0,android
45425,UT,0.0,ios
45426,UT,0.0,android
45427,UT,4.0,ios
45428,UT,4.0,android
45429,UT,4.0,ios
45430,UT,0.0,android
45431,UT,0.0,ios
45462,UT,76.0,android
45463,UT,20.0,ios
45464,UT,69.0,android
45465,UT,23.0,ios
45466,UT,92.0,android
45467,UT,34.0,ios
45508,GA,28.0,android
45509,GA,18.0,ios
45510,GA,26.0,android
45511,GA,24.0,ios
45512,GA,16.0,android
45513,GA,15.0,ios
45520,UT,12.0,android
45521,UT,18.0,ios
45522,UT,8.0,android
45523,UT,24.0,ios
45524,UT,11.0,android
45525,UT,23.0,ios
45648,UT,18.0,android
45649,UT,32.0,ios
45650,UT,9.0,android
45651,UT,30.0,ios
45652,UT,16.0,android
45653,UT,28.0,ios
45661,UT,87.0,android
45662,UT,59.0,ios
45663,UT,90.0,android
45664,UT,60.0,ios
45665,UT,96.0,android
45666,UT,79.0,ios
45721,UT,22.0,android
45722,UT,10.0,ios
45723,UT,25.0,android
45724,UT,12.0,ios
45725,UT,25.0,android
45726,UT,11.0,ios
45764,UT,,
45796,UT,21.0,android
45797,UT,19.0,ios
45798,UT,13.0,android
45799,UT,25.0,ios
45800,UT,7.0,android
45801,UT,15.0,ios
46021,UT,34.0,android
46022,UT,40.0,ios
46023,UT,31.0,android
46024,UT,39.0,ios
46025,UT,32.0,android
46026,UT,32.0,ios
46177,UT,63.0,android
46178,UT,60.0,ios
46179,UT,70.0,android
46180,UT,54.0,ios
46181,UT,72.0,android
46182,UT,65.0,ios
46213,UT,0.0,android
46214,UT,6.0,ios
46215,UT,11.0,android
46216,UT,4.0,ios
46217,UT,4.0,android
46218,UT,4.0,ios
46255,UT,27.0,android
46256,UT,39.0,ios
46257,UT,25.0,android
46258,UT,34.0,ios
46259,UT,20.0,android
46260,UT,27.0,ios
46273,UT,,
46290,UT,28.0,android
46291,UT,51.0,ios
46292,UT,26.0,android
46293,UT,53.0,ios
46294,UT,28.0,android
46295,UT,54.0,ios
46303,UT,7.0,android
46304,UT,8.0,ios
46305,UT,4.0,android
46306,UT,6.0,ios
46307,UT,6.0,android
46308,UT,9.0,ios
46371,UT,42.0,android
46372,UT,40.0,ios
46373,UT,35.0,android
46374,UT,40.0,ios
46375,UT,36.0,android
46376,UT,39.0,ios
46615,UT,44.0,android
46616,UT,44.0,ios
46617,UT,51.0,android
46618,UT,49.0,ios
46619,UT,46.0,android
46620,UT,53.0,ios
46794,UT,61.0,android
46795,UT,46.0,ios
46796,UT,58.0,android
46797,UT,70.0,ios
46798,UT,51.0,android
46799,UT,54.0,ios
46800,UT,35.0,android
46801,UT,26.0,ios
46802,UT,31.0,android
46803,UT,23.0,ios
46804,UT,36.0,android
46805,UT,34.0,ios
46860,UT,22.0,android
46861,UT,14.0,ios
46862,UT,22.0,android
46863,UT,18.0,ios
46864,UT,9.0,android
46865,UT,14.0,ios
46866,UT,17.0,android
46867,UT,15.0,ios
46868,UT,19.0,android
46869,UT,9.0,ios
46870,UT,27.0,android
46871,UT,23.0,ios
