,region,value,device_type
3032,GA,8.0,android
3033,GA,12.0,ios
3034,GA,9.0,android
3035,GA,7.0,ios
3042,UT,30.0,android
3043,UT,12.0,ios
3044,UT,33.0,android
3045,UT,23.0,ios
3046,UT,13.0,android
3047,UT,17.0,ios
3097,UT,42.0,android
3098,UT,28.0,ios
3099,UT,30.0,android
3100,UT,18.0,ios
3101,UT,28.0,android
3102,UT,28.0,ios
3145,GA,0.0,android
3146,GA,0.0,ios
3165,UT,18.0,android
3166,UT,4.0,ios
3167,UT,13.0,android
3168,UT,6.0,ios
3169,UT,14.0,android
3170,UT,6.0,ios
3209,UT,17.0,android
3210,UT,6.0,ios
3211,UT,12.0,android
3212,UT,6.0,ios
3213,UT,4.0,android
3214,UT,0.0,ios
3275,UT,0.0,android
3276,UT,0.0,ios
3277,UT,5.0,android
3278,UT,0.0,ios
3279,UT,4.0,android
3280,UT,0.0,ios
3335,UT,46.0,android
3336,UT,39.0,ios
3337,UT,39.0,android
3338,UT,20.0,ios
3339,UT,36.0,android
3340,UT,36.0,ios
3454,UT,28.0,android
3455,UT,23.0,ios
3456,UT,16.0,android
3457,UT,21.0,ios
3458,UT,24.0,android
3459,UT,25.0,ios
3466,UT,5.0,android
3467,UT,0.0,ios
3468,UT,6.0,android
3469,UT,4.0,ios
3470,UT,6.0,android
3471,UT,4.0,ios
3502,UT,22.0,android
3503,UT,6.0,ios
3504,UT,20.0,android
3505,UT,4.0,ios
3506,UT,29.0,android
3507,UT,6.0,ios
3552,UT,30.0,android
3553,UT,32.0,ios
3554,UT,13.0,android
3555,UT,24.0,ios
3556,UT,103.0,android
3557,UT,117.0,ios
3634,UT,9.0,android
3635,UT,23.0,ios
3636,UT,12.0,android
3637,UT,30.0,ios
3638,UT,22.0,android
3639,UT,27.0,ios
3640,UT,33.0,android
3641,UT,12.0,ios
3642,UT,25.0,android
3643,UT,14.0,ios
3644,UT,26.0,android
3645,UT,16.0,ios
3664,UT,16.0,android
3665,UT,19.0,ios
3666,UT,15.0,android
3667,UT,22.0,ios
3668,UT,24.0,android
3669,UT,23.0,ios
3707,UT,33.0,android
3708,UT,36.0,ios
3709,UT,34.0,android
3710,UT,31.0,ios
3711,UT,34.0,android
3712,UT,47.0,ios
3741,UT,34.0,android
3742,UT,45.0,ios
3743,UT,30.0,android
3744,UT,43.0,ios
3745,UT,38.0,android
3746,UT,54.0,ios
3760,UT,44.0,android
3761,UT,13.0,ios
3762,UT,50.0,android
3763,UT,15.0,ios
3764,UT,34.0,android
3765,UT,16.0,ios
3835,UT,17.0,android
3836,UT,15.0,ios
3837,UT,15.0,android
3838,UT,10.0,ios
3839,UT,20.0,android
3840,UT,14.0,ios
3853,UT,17.0,android
3854,UT,15.0,ios
3855,UT,23.0,android
3856,UT,32.0,ios
3857,UT,27.0,android
3858,UT,9.0,ios
3957,UT,41.0,android
3958,UT,10.0,ios
3959,UT,42.0,android
3960,UT,4.0,ios
3961,UT,33.0,android
3962,UT,9.0,ios
4001,UT,39.0,android
4002,UT,36.0,ios
4003,UT,33.0,android
4004,UT,25.0,ios
4005,UT,56.0,android
4006,UT,55.0,ios
4013,UT,37.0,android
4014,UT,16.0,ios
4015,UT,22.0,android
4016,UT,33.0,ios
4017,UT,23.0,android
4018,UT,14.0,ios
4056,UT,116.0,android
4057,UT,113.0,ios
4058,UT,102.0,android
4059,UT,98.0,ios
4060,UT,75.0,android
4061,UT,85.0,ios
4066,UT,87.0,android
4067,UT,14.0,ios
4068,UT,77.0,android
4069,UT,7.0,ios
4070,UT,42.0,android
4071,UT,23.0,ios
4084,UT,,
4085,UT,25.0,android
4086,UT,21.0,ios
4087,UT,33.0,android
